站号,站名,观测时间,气温4次平均,最高气温,最低气温,20-20降水量,本站气压4次平均,相对湿度4次平均,最小相对湿度,10分钟风速4次平均,日最大风风速,日照时数合计
53698,石家庄,2014-04-10,13.9,24.0,11.1,0.0,1009.5,53,43,1.7,3.5,0.0
53798,邢台,2014-04-10,14.7,23.8,11.9,0.0,1011.0,58,41,2.5,4.5,0.0
53698,石家庄,2014-04-11,12.9,14.6,11.4,0.1,1006.7,63,54,1.0,1.8,0.0
53798,邢台,2014-04-11,12.1,13.7,10.0,3.1,1009.7,62,46,1.7,3.6,0.0
53698,石家庄,2014-04-12,14.5,18.6,10.0,0.0,1003.9,62,41,1.3,2.3,0.0
53798,邢台,2014-04-12,13.3,16.8,9.7,1.4,1007.4,73,40,0.7,1.7,0.0
53698,石家庄,2014-04-13,16.5,23.3,9.3,0.0,1004.2,68,46,0.8,2.9,6.0
53798,邢台,2014-04-13,16.2,24.6,8.4,0.0,1008.0,71,45,1.7,3.7,9.2
53698,石家庄,2014-04-14,19.6,26.9,13.9,0.0,1004.1,66,39,1.6,3.3,8.5
53798,邢台,2014-04-14,19.4,26.9,11.7,0.0,1008.0,63,26,2.0,4.5,10.4
53698,石家庄,2014-04-15,16.3,20.7,13.8,1.6,1005.2,71,40,1.5,2.8,0.0
53798,邢台,2014-04-15,16.9,20.7,14.8,3.8,1008.7,71,56,1.7,5.4,0.0
53698,石家庄,2014-04-16,16.1,20.5,12.4,0.2,1001.6,65,30,0.4,2.2,0.0
53798,邢台,2014-04-16,16.8,21.2,12.5,0.0,1004.7,58,32,1.4,3.0,0.0
53698,石家庄,2014-04-17,14.6,17.8,12.3,2.6,1000.1,76,36,0.5,1.8,0.0
53798,邢台,2014-04-17,15.2,18.9,13.0,1.6,1003.0,77,50,0.9,2.4,0.0
53698,石家庄,2014-04-18,15.0,17.2,13.1,1.4,1006.4,82,64,0.6,1.7,0.0
53798,邢台,2014-04-18,15.7,20.1,13.0,2.4,1009.3,80,54,1.3,3.1,0.0
53698,石家庄,2014-04-19,13.8,15.4,13.0,10.0,1007.9,84,64,0.9,2.1,0.0
53798,邢台,2014-04-19,15.1,18.9,13.3,4.3,1010.9,85,61,1.2,2.1,1.0
53698,石家庄,2014-04-20,15.2,20.4,9.9,0.0,1004.9,73,44,0.9,2.5,0.0
53798,邢台,2014-04-20,15.9,18.5,13.1,0.0,1008.2,73,58,1.2,2.4,0.0
53698,石家庄,2014-04-21,16.6,21.3,13.7,0.0,1004.5,68,41,1.7,3.3,0.0
53798,邢台,2014-04-21,18.1,22.2,15.0,0.0,1007.6,65,37,1.2,2.3,0.0
53698,石家庄,2014-04-22,18.8,24.5,11.2,0.0,1001.9,61,37,1.9,3.3,9.8
53798,邢台,2014-04-22,18.9,25.6,11.6,0.0,1005.8,62,31,1.6,3.1,10.1
53698,石家庄,2014-04-23,18.7,23.7,12.8,0.0,997.7,71,46,1.9,4.2,7.3
53798,邢台,2014-04-23,18.8,23.9,14.8,0.0,1002.0,69,45,2.0,5.2,9.4
53698,石家庄,2014-04-24,18.8,23.8,13.8,0.0,1001.2,73,56,1.3,2.7,0.0
53798,邢台,2014-04-24,19.8,26.0,14.5,0.0,1004.5,66,42,2.4,4.0,10.8
53698,石家庄,2014-04-25,18.0,24.2,14.5,8.8,1003.6,74,45,1.1,3.0,0.0
53798,邢台,2014-04-25,19.0,24.7,15.4,13.8,1006.6,70,42,1.9,2.9,5.1
53698,石家庄,2014-04-26,16.0,18.7,13.3,0.2,1007.7,63,36,1.2,2.5,0.0
53798,邢台,2014-04-26,15.3,18.8,12.8,3.1,1010.4,69,35,2.5,4.2,0.0
53698,石家庄,2014-04-27,18.1,23.7,13.7,0.0,1008.0,46,18,1.2,2.7,8.5
53798,邢台,2014-04-27,17.1,24.7,11.0,0.0,1011.0,56,21,1.5,4.5,10.7
53698,石家庄,2014-04-28,17.8,22.6,13.0,0.0,1007.3,55,34,1.2,2.5,9.7
53798,邢台,2014-04-28,18.0,23.4,11.2,0.0,1010.6,61,27,1.0,3.4,10.8
53698,石家庄,2014-04-29,19.7,25.8,14.0,0.0,1001.4,50,31,1.9,3.4,8.6
53798,邢台,2014-04-29,19.4,26.0,11.4,0.0,1005.2,56,29,1.8,3.6,10.8
53698,石家庄,2014-04-30,20.5,26.2,14.1,0.0,996.8,60,39,1.2,2.8,8.4
53798,邢台,2014-04-30,20.8,27.0,14.1,0.0,1000.1,65,41,1.4,2.4,9.5
53698,石家庄,2014-05-01,21.2,27.1,17.2,0.0,996.1,60,20,1.9,5.0,0.0
53798,邢台,2014-05-01,22.1,28.1,16.2,0.0,999.2,63,21,1.6,5.2,7.0
53698,石家庄,2014-05-02,19.9,24.9,13.1,0.0,1005.0,24,9,2.1,4.1,12.2
53798,邢台,2014-05-02,20.7,23.7,17.1,0.0,1008.7,21,12,2.9,5.9,10.7
53698,石家庄,2014-05-03,21.2,28.8,13.2,0.0,1000.5,17,6,2.2,5.3,11.1
53798,邢台,2014-05-03,20.8,26.9,11.8,0.0,1004.3,32,17,1.7,6.4,5.3
53698,石家庄,2014-05-04,14.7,23.0,9.5,0.0,1007.5,21,7,1.3,4.0,12.0
53798,邢台,2014-05-04,16.2,21.7,11.0,0.0,1010.6,24,11,2.3,5.7,10.3
53698,石家庄,2014-05-05,17.1,22.1,11.6,0.0,1005.0,23,13,1.9,3.8,11.9
53798,邢台,2014-05-05,17.7,23.5,10.3,0.0,1009.1,30,12,1.8,3.3,10.3
53698,石家庄,2014-05-06,18.8,27.9,10.7,0.0,994.3,43,25,1.8,3.3,9.2
53798,邢台,2014-05-06,21.5,29.4,14.5,0.0,998.3,48,31,3.3,4.8,11.4
53698,石家庄,2014-05-07,21.6,27.2,15.2,0.0,992.9,41,22,1.5,2.6,8.7
53798,邢台,2014-05-07,23.1,27.9,16.8,0.0,995.7,44,26,2.0,4.4,8.4
53698,石家庄,2014-05-08,18.3,23.2,13.2,0.0,1000.4,51,32,1.2,2.6,3.9
53798,邢台,2014-05-08,21.1,25.8,16.5,0.0,1002.9,44,24,1.1,3.3,0.0
53698,石家庄,2014-05-09,18.9,22.3,16.0,0.0,999.7,59,44,1.2,2.2,0.0
53798,邢台,2014-05-09,21.0,24.6,17.1,0.0,1001.9,60,42,1.6,2.4,0.0
